Date/Time,Total Sap Flow (L/hr or kg/hr)
5/25/2023 17:00,0.44
5/25/2023 18:00,0.42
5/25/2023 19:00,0.40
5/25/2023 20:00,0.35
5/25/2023 21:00,0.25
5/25/2023 22:00,0.17
5/25/2023 23:00,0.14
5/26/2023 0:00,0.14
5/26/2023 1:00,0.13
5/26/2023 2:00,0.13
5/26/2023 3:00,0.13
5/26/2023 4:00,0.13
5/26/2023 5:00,0.13
5/26/2023 6:00,0.10
5/26/2023 7:00,0.16
5/26/2023 8:00,0.21
5/26/2023 9:00,0.28
5/26/2023 10:00,0.31
5/26/2023 11:00,0.28
5/26/2023 12:00,0.27
5/26/2023 13:00,0.23
5/26/2023 14:00,0.31
5/26/2023 15:00,0.38
5/26/2023 16:00,0.34
5/26/2023 17:00,0.36
5/26/2023 18:00,0.41
5/26/2023 19:00,0.36
5/26/2023 20:00,0.26
5/26/2023 21:00,0.19
5/26/2023 22:00,0.14
5/26/2023 23:00,0.12
5/27/2023 0:00,0.10
5/27/2023 1:00,0.10
5/27/2023 2:00,0.10
5/27/2023 3:00,0.10
5/27/2023 4:00,0.09
5/27/2023 5:00,0.09
5/27/2023 6:00,0.09
5/27/2023 7:00,0.11
5/27/2023 8:00,0.13
5/27/2023 9:00,0.21
5/27/2023 10:00,0.26
5/27/2023 11:00,0.31
5/27/2023 12:00,0.33
5/27/2023 13:00,0.43
5/27/2023 14:00,0.51
5/27/2023 15:00,0.54
5/27/2023 16:00,0.52
5/27/2023 17:00,0.41
5/27/2023 18:00,0.36
5/27/2023 19:00,0.28
5/27/2023 20:00,0.22
5/27/2023 21:00,0.16
5/27/2023 22:00,0.12
5/27/2023 23:00,0.11
5/28/2023 0:00,0.10
5/28/2023 1:00,0.09
5/28/2023 2:00,0.09
5/28/2023 3:00,0.09
5/28/2023 4:00,0.09
5/28/2023 5:00,0.08
5/28/2023 6:00,0.09
5/28/2023 7:00,0.11
5/28/2023 8:00,0.17
5/28/2023 9:00,0.27
